@relation 'kmeans 고객자료 - 복사본 (9)'

@attribute 고객번호 numeric
@attribute '총 구매금액' numeric
@attribute '구매 수량' numeric

@data
1,881157,50
2,529718,29
3,957060,28
4,838376,17
5,776884,20
6,322104,35
7,800114,47
8,587018,11
9,121882,10
10,986691,20
11,547619,25
12,633895,34
13,225209,15
14,544723,30
15,262019,34
16,531708,42
17,37285,17
18,698767,40
19,358667,1
20,307291,49
21,950851,35
22,845550,6
23,846627,11
24,477984,19
25,545726,25
26,714516,5
27,558569,23
28,780964,30
29,462404,44
30,336899,44
31,494162,12
32,247051,29
33,757437,37
34,654597,42
35,815779,50
36,60495,50
37,298000,18
38,338942,40
39,308872,47
40,611289,18
41,885291,4
42,652165,10
43,297042,28
44,387893,25
45,372445,23
46,318951,24
47,115924,33
48,450237,41
49,461425,7
50,62818,37
